scene,frame,path,tqt_miou,off-net_miou,m2f2_miou,rod_miou,max_baseline,max_baseline_method,diff
2021-0403-1736,1620347744406,testing/y2021_0403_1736/gt_image/1620347744406_labelTrainIds.png,90.8908039945566,0.5747204765152625,0.4472695777197946,0.5695998040240001,57.472047651526246,off-net,33.41875634303035
2021-0403-1736,1620347744015,testing/y2021_0403_1736/gt_image/1620347744015_labelTrainIds.png,82.71302482920679,0.4843379017466275,0.38523670313837344,0.5056398764636441,50.5639876463644,rod,32.14903718284238
2021-0403-1736,1620347744262,testing/y2021_0403_1736/gt_image/1620347744262_labelTrainIds.png,86.69774566877284,0.5033746144696959,0.41619342658124914,0.5484022936902117,54.840229369021166,rod,31.857516299751676
2021-0403-1736,1620347742469,testing/y2021_0403_1736/gt_image/1620347742469_labelTrainIds.png,85.57173147682272,0.4150364202940794,0.539260199996456,0.5158242561321222,53.926019999645604,m2f2,31.64571147717712
2021-0403-1736,1620347744135,testing/y2021_0403_1736/gt_image/1620347744135_labelTrainIds.png,83.39467187458136,0.4728683832423483,0.41488556506013546,0.5369357867407463,53.69357867407463,rod,29.701093200506733
2021-0403-1736,1620347743585,testing/y2021_0403_1736/gt_image/1620347743585_labelTrainIds.png,81.31019116168123,0.3869099958418389,0.3409426868029551,0.5181103049662127,51.81103049662127,rod,29.499160665059964
2021-0403-1736,1620347742392,testing/y2021_0403_1736/gt_image/1620347742392_labelTrainIds.png,90.89115446889073,0.4636673107570727,0.6149494257755526,0.5530617210806644,61.49494257755526,m2f2,29.396211891335476
2021-0403-1736,1620347743864,testing/y2021_0403_1736/gt_image/1620347743864_labelTrainIds.png,78.9975009955191,0.4010839881724079,0.33737683690741793,0.497227833978732,49.7227833978732,rod,29.2747175976459
2021-0403-1736,1620347743471,testing/y2021_0403_1736/gt_image/1620347743471_labelTrainIds.png,78.8475147700868,0.40072902535613686,0.3565682461614484,0.5097175682125609,50.971756821256086,rod,27.875757948830714
2021-0403-1736,1620347743683,testing/y2021_0403_1736/gt_image/1620347743683_labelTrainIds.png,77.78901997159255,0.40872195395364463,0.3510412296671579,0.5096223881593906,50.96223881593907,rod,26.82678115565349
2021-0403-1736,1620347742571,testing/y2021_0403_1736/gt_image/1620347742571_labelTrainIds.png,84.4114102215586,0.3893971993225115,0.5238168522652212,0.5800902181989659,58.00902181989659,rod,26.402388401662
2021-0403-1736,1620347744478,testing/y2021_0403_1736/gt_image/1620347744478_labelTrainIds.png,89.53766820025326,0.54146202718268,0.45474206100599324,0.6341676214932248,63.41676214932248,rod,26.12090605093078
2021-0403-1736,1620347744665,testing/y2021_0403_1736/gt_image/1620347744665_labelTrainIds.png,94.79973261101243,0.6112903953286535,0.547978722388278,0.6868959749059178,68.68959749059178,rod,26.11013512042065
2021-0403-1736,1620347744885,testing/y2021_0403_1736/gt_image/1620347744885_labelTrainIds.png,96.62765650948137,0.7159186141205405,0.606480509153212,0.6847576233370899,71.59186141205404,off-net,25.035795097427325
2021-0403-1736,1620347743409,testing/y2021_0403_1736/gt_image/1620347743409_labelTrainIds.png,72.99967253049263,0.4444718438862919,0.3781065904380326,0.535677376021649,53.5677376021649,rod,19.43193492832773
